Código do alimento,Descrição do alimento,Calorias,Campo de Pesquisa
6300101,"Arroz (polido, parboilizado, agulha, agulhinha, etc.)",135.6229457071333,ARROZ POLIDO PARBOILIZADO AGULHA AGULHINHA
6300201,Arroz integral,130.9456437535,ARROZ INTEGRAL
6300701,Milho (em grão),160.141,MILHO GRAO
6300706,Canjiquinha de milho em grão,79.68,CANJIQUINHA MILHO GRAO
6300707,Xerém de milho,62.952,XEREM MILHO
6301001,Amendoim (em grão) in natura,567.0,AMENDOIM GRAO IN NATURA
6301101,Ervilha em grão,109.093,ERVILHA GRAO
6301201,Fava (em grão),85.617,FAVA GRAO
6301204,Mangalô amargo em grão,85.617,MANGALO AMARGO GRAO
6301603,Feijão-de-corda,121.332,FEIJAO DE CORDA
6301634,Feijão-verde,121.332,FEIJAO VERDE
6302001,Semente de linhaça,534.0,SEMENTE LINHACA
6302602,Andu,97.405,ANDU
6302801,Grão de bico,188.481,GRAO BICO
6302901,Lentilha,136.277,LENTILHA
6303001,Soja em grão,196.342,SOJA GRAO
6303102,"Feijão (preto, mulatinho, roxo, rosinha, etc.)",97.405,FEIJAO PRETO MULATINHO ROXO ROSINHA
6303501,Quirera não especificada,62.952,QUIRERA ESPECIFICADA
6304034,Feijão-verde orgânico,121.332,FEIJAO VERDE ORGANICO
6304101,Feijão orgânico,97.405,FEIJAO ORGANICO
6304201,Pipoca  light,445.938,PIPOCA  LIGHT
6304301,Arroz  orgânico,135.6229457071333,ARROZ  ORGANICO
6304401,Arroz integral orgânico,130.9456437535,ARROZ INTEGRAL ORGANICO
6304602,Feijão-de-soja orgânico,196.342,FEIJAO DE SOJA ORGANICO
6304901,Quinoa,135.465,QUINOA
6400101,Batata-inglesa,86.0,BATATA INGLESA
6400303,Mandioquinha salsa (batata-baroa),76.0,MANDIOQUINHA SALSA BATATA BAROA
6400304,Cenoura amarela (batata-baroa),76.0,CENOURA AMARELA BATATA BAROA
6400401,Batata-doce,76.0,BATATA DOCE
6400501,Inhame,100.0,INHAME
6400508,Quicaré,100.0,QUICARE
6400601,Mandioca,125.0,MANDIOCA
6400609,Aipim,125.0,AIPIM
6400610,Macaxeira,125.0,MACAXEIRA
6400701,Cará,100.0,CARA
6400713,Inhame caraquento (cará),100.0,INHAME CARAQUENTO CARA
6400802,Batata (não especificada),86.0,BATATA ESPECIFICADA
6400908,Mandioquinha,76.0,MANDIOQUINHA
6401001,Rabanete,16.0,RABANETE
6401101,Beterraba,43.0,BETERRABA
6401201,Cenoura,41.0,CENOURA
6401301,Nabo,22.0,NABO
6401601,Açafrão,310.0,ACAFRAO
6401801,Batata-inglesa orgânica,263.5,BATATA INGLESA ORGANICA
6500101,Creme de arroz,148.323,CREME ARROZ
6500104,Arrozina,148.323,ARROZINA
6500105,Mucilon,78.243,MUCILON
6500108,Mingau de arroz,148.323,MINGAU ARROZ
6500202,Croquinhos de arroz,387.0,CROQUINHOS ARROZ
6500301,Farinha de aveia,384.0,FARINHA AVEIA
6500401,Aveia em flocos,384.0,AVEIA FLOCOS
6500601,Fubá de milho,60.58,FUBA MILHO
6500603,Farinha de milho,351.0,FARINHA MILHO
6500608,Puba de milho,311.0,PUBA MILHO
6500609,Puba de fubá,311.0,PUBA FUBA
6500613,Milho moído,160.141,MILHO MOIDO
6500614,Mingau de milho,78.243,MINGAU MILHO
6500702,Amido de milho,78.243,AMIDO MILHO
6500705,Amido de arroz,148.323,AMIDO ARROZ
6500801,Cremogema,78.243,CREMOGEMA
6500802,Vitamilho,128.3,VITAMILHO
6500804,Creme de milho,78.243,CREME MILHO
6500902,Sucrilhos de milho,377.0,SUCRILHOS MILHO
6500903,Cereal matinal de milho em flocos,377.0,CEREAL MATINAL MILHO FLOCOS
6501301,Germe de trigo,360.0,GERME TRIGO
6501303,Fibra de trigo,216.0,FIBRA TRIGO
6501304,Fibra de cereal trigo,216.0,FIBRA CEREAL TRIGO
6501401,Farinha de mandioca,361.0,FARINHA MANDIOCA
6501410,Farinha de copioba,361.0,FARINHA COPIOBA
6501415,Farinha d'água,361.0,FARINHA D AGUA
6501416,Cruera,361.0,CRUERA
6501502,Goma de mandioca,336.0,GOMA MANDIOCA
6501505,Sagu de mandioca,116.992,SAGU MANDIOCA
6501510,Farinha de tapioca,331.0,FARINHA TAPIOCA
6501511,Farinha beiju,331.0,FARINHA BEIJU
6501515,Sagu de tapioca,116.992,SAGU TAPIOCA
6501516,Tapioca de goma,336.0,TAPIOCA GOMA
6502001,Farinha láctea,396.67,FARINHA LACTEA
6502101,Neston,345.8,NESTON
